level,parameter,category,output_variable,sensitivity_score,p_value,ci_lower,ci_upper,n_samples,elasticity,param_change,output_change,building_id,object_type,object_name,field_name,zone_name,interaction_type,avg_zone_param_change,avg_output_change,significance,confidence_level,time_slice,analysis_type
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,0.5943985037721047,,4136737,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,33.13279287150767,-2.366007512672592,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,-17.777573747925956,4.770883674709667,-84.8147363699271,4136737,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,-2.366007512672592,,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone1_RearPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,4.770883674709667,,4136737,WINDOWSHADINGCONTROL,ShadingCtrl_Zone1_RearPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,-15.395056909548163,5.0920524237355895,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,5.0920524237355895,,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_FrontPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,-18.543816981207375,4.2274164444815385,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Cooling Energy,,0.05,0,0,1,,4.2274164444815385,,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_LeftPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
building,shading*WINDOWSHADINGCONTROL*ShadingCtrl_Zone2_RearPerimeter_Wall_0_window*shading_setpoint,shading,Zone Air System Sensible Heating Energy,10.0,0.05,0,0,1,21.437175610107836,-3.65684539211636,-78.39243684981206,4136733,WINDOWSHADINGCONTROL,ShadingCtrl_Zone2_RearPerimeter_Wall_0_window,shading_setpoint,,,,,,low,peak_months,modification
