VariableName,01/01,01/02,01/03,01/04,01/05,01/06,01/07,01/08,01/09,01/10,01/11,01/12,01/13,01/14,01/15,01/16,01/17,01/18,01/19,01/20,01/21,01/22,01/23,01/24,01/25,01/26,01/27,01/28,01/29,01/30
ZONE1_REARPERIMETER_ROOF:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),22.07980364407395,30.400833383827585,39.98650555073328,41.23011576071191,42.25221276314912,17.917495740377177,35.55724846653441,6.461482506509429,22.60629959698152,25.33301803072422,37.36481255129694,37.54491481338654,26.73395190095076,10.538871037998424,8.21366062437862,38.6640008019414,42.89707585207251,14.315836765198418,30.63011987245648,37.71403745012478,42.655618860034174,25.52682560922072,46.734037044604726,44.8937575380013,21.78588258330857,5.227734382929479,43.41357403736922,27.76689358105679,12.958673294817943,59.38269731197765
ZONE1_REARPERIMETER_ROOF:Surface Outside Face Temperature [C](Hourly),1.0069130713642729,1.4862493952549396,-3.417948003101717,-6.815010616043261,-6.942343233252487,-3.0516799306557583,-4.580841832542006,-0.0739421548062806,3.2615868814945728,3.812374636802374,1.0068782676586687,0.0485987627877054,1.030665829406936,5.143172061335689,7.286719646110453,3.849483834989469,2.9490383151956947,5.29769715776258,3.175671750110601,7.1041443350920375,5.057000489460436,6.509941792925512,5.362130546824141,4.858954075696578,4.176705330776438,6.938424024240703,2.148659981655357,6.8727795589488325,6.752817997700703,2.208922153442582
ZONE1_REARPERIMETER_WALL_0 WINDOW:Surface Inside Face Temperature [C](Hourly),9.447751896155347,9.859674315053326,9.077019479456606,7.883828932907946,4.971749542651273,1.5018136287025452,5.835808204901298,7.541510949348672,9.29948244365942,9.81984468245136,9.534041591234798,7.645651548882114,4.194357679081024,9.313797266439986,10.786708003486202,10.605245659910262,10.18943694327587,10.69221942881154,8.132358757651353,7.140903194715733,9.918750799352424,10.76217640900366,10.92721357788493,10.943887013390343,10.242302288820738,9.26461267358262,4.882231816979531,10.27285902665938,10.870270476449384,10.42081764048289
ZONE1_REARPERIMETER_WALL_0 WINDOW:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),29.05731257320625,65.83246217034973,94.10850451530682,97.8041217136558,98.9544389635932,14.89836003434344,75.60387717294695,3.3588846954280136,25.65970757987552,32.177158265248806,79.52982568376727,82.77505555839879,39.32771348192098,17.133210304201295,8.88704543028954,90.89988242520856,97.4970352419264,13.888013190638093,43.01292453648128,87.31982515885683,66.19037197802854,17.581854729716774,88.99666773858338,79.92226159999355,15.864708760358043,2.8917135254473174,49.65999547485743,59.79027420735193,9.852805823315911,116.56795808346044
ZONE1_REARPERIMETER_WALL_0 WINDOW:Surface Outside Face Temperature [C](Hourly),2.607191519068668,4.535356836434299,2.6346009035812266,-0.6529728285978732,-3.203023554648796,-2.9697638248288007,-2.6646229051554005,0.2921656542200477,4.659564959403812,4.973462598655659,3.9481056102219863,4.44384871340321,3.2709415699566318,5.739524379727509,7.624458667800229,6.257134197753341,5.366273181984482,6.1703974904495,4.627661278259731,8.509098171345038,6.272121731383727,6.621016097289612,6.648325470928209,6.695583477724701,4.510120010043313,7.2773756666418175,3.4291937183589263,8.126250893158437,7.505313738436435,5.682418216230968
ZONE1_REARPERIMETER_WALL_0:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-59.7899348071813,-69.6863379856722,-51.87787519983032,-35.97211118949159,71.49496615466727,144.325666263255,-179.05199942464412,-137.9543749595371,-145.69274952474998,-121.67789791060056,-91.73748122120536,24.18724059512793,112.64174832214636,-178.87712779743296,-117.9191075081493,-79.04179326130065,-64.05684671636782,-59.717464501385656,49.026304227807294,75.82820169169612,-139.2184296863133,-82.46385851577715,-67.4096851259877,-56.40451134445991,-41.2756895811736,41.48985658410021,134.88390549784785,-167.97613675175947,-93.28302115173192,-58.60709593319882
ZONE1_REARPERIMETER_WALL_0:Surface Inside Face Temperature [C](Hourly),11.057677345977377,11.117273319804042,10.738149689446669,10.126619251152356,7.612176655896111,3.6365957423558073,7.386837577824724,8.838671020352315,9.992907733926764,10.668138634578185,10.721565836957067,8.956635436303811,5.307228363414719,9.565574822910731,11.222360198888923,11.533145964941646,11.343610790805576,11.73857334756387,9.541795390776956,7.416747536098586,10.403950072028596,11.602652812999338,11.846637461812746,11.942586132728051,11.639284507650755,10.222179453982289,6.273797623053494,10.27311399159312,11.497074986247966,11.607026286474394
ZONE1_REARPERIMETER_WALL_0:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](Hourly),29.057520222900777,65.83294544391298,94.10920241573449,97.80484716250858,98.95517282619404,14.898459819599596,75.60443269216286,3.3589050828846823,25.659888134529268,32.177388550847205,79.53041206753406,82.7756660557419,39.327997408180295,17.13333185732521,8.887106383987348,90.90055065638212,97.49775234139756,13.888107235341096,43.013233249347394,87.32046518739871,66.19085254774343,17.581970739503664,88.99731859322712,79.9228452412029,15.864813055524865,2.8917313030802174,49.66034792830407,59.79070867165334,9.852872398890774,116.5688089068113
ZONE1_REARPERIMETER_WALL_0:Surface Outside Face Temperature [C](Hourly),2.7768629096909225,5.667245871187613,5.166471934228189,2.0240430479301303,-1.5846520610968942,-2.388089872070203,-0.1949492718531361,0.029956988217012,4.639269603675685,5.265543369083535,5.131222402014132,6.254486129572721,4.451085612819276,5.869914062729758,7.54570658866034,7.535769815776327,6.367977222792878,6.362657418136441,5.182031517251046,9.632321709393816,7.064689317898583,6.8147469210441685,7.461887462859043,7.591754683376805,4.804771437329067,7.215303915489081,4.39107138850013,8.807028835123921,7.54741059029072,8.383523135768842
ZONE1_REARPERIMETER_WALL_1:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),0.0100483616122296,0.0300834470137575,0.1130831933992192,0.0972762372489935,0.2103151218956687,0.2399064414302406,-0.3694666661455941,-0.20631668437541,-0.1404974255352575,0.0548564004916134,0.0229464195201187,0.2679019787205696,0.0883313614168696,-0.4459948492759455,-0.0703921337424563,0.1210915946508518,-0.136864222418466,0.0727567296207519,0.1351369614123582,0.1918925722115076,-0.3735626464404591,-0.0584556522966586,0.0136767065800237,0.0661326797220644,-0.0201122583281788,0.2707973230668456,0.2263630879963564,-0.4775030529390302,-0.0185513528203002,0.1630760646453848
ZONE1_REARPERIMETER_WALL_1:Surface Inside Face Temperature [C](Hourly),11.134223559448714,11.253977419128118,10.775579122607189,10.05436404274745,7.105391653175967,2.9014405461847708,7.843615314168567,9.182787715018405,10.42335077859318,11.013477210884526,10.932819520963989,8.74198211932764,4.810923728183709,10.152341605748186,11.592525099717577,11.73435148153475,11.470840168800123,11.865939290215048,9.238721534069525,7.160426895954084,10.843225397832065,11.829578249272972,12.012087354023768,12.067583504154848,11.676059128119483,9.989498065303106,5.683436335890401,10.850599058430944,11.770664260406091,11.719102688715092
ZONE1_REARPERIMETER_WALL_1:Surface Outside Face Temperature [C](Hourly),11.135078748420357,11.256537740214071,10.785203328383693,10.062642961093376,7.123291006299902,2.9218583367514275,7.812171002103628,9.165228658134104,10.41139342141414,11.018145891265936,10.934772428877684,8.764782534611614,4.818441372258313,10.114384186297354,11.586534214955478,11.74465726075528,11.459192023745125,11.872131419358622,9.250222676596096,7.17675835553205,10.811432487924868,11.824603246272156,12.013251341655478,12.073211878266552,11.6743474280254,10.012544895540042,5.702701488152165,10.80996006069614,11.769085404772392,11.73298165300848
ZONE1_REARPERIMETER_WALL_2:Surface Inside Face Conduction Heat Transfer Rate [W](Hourly),-43.48396518930917,-51.32018138678103,-55.15085081285813,-49.93139087673629,-65.48385544574508,-44.91202455902508,27.349808763139748,10.037345095675745,-21.949785164453065,-30.977248611976435,-44.20818519666215,-78.40412710660551,-74.62929540580808,-6.132832506418924,-37.97004363220282,-56.470620460465376,-59.04431506855028,-53.57580299544188,-79.82976250813608,-104.6868643093094,-32.30844877369,-48.392962361409495,-61.87162765777913,-64.66845509027665,-54.99872744615981,-78.92364687806597,-87.91695118476714,-27.12268097278559,-46.97820274331249,-63.1890780106902
ZONE1_REARPERIMETER_WALL_2:Surface Inside Face Temperature [C](Hourly),10.875187675224003,10.972987107710065,10.47702123001815,9.766582046666803,6.786536847553312,2.705221208513335,7.83248624790478,9.102546416838718,10.239893634808269,10.80176623481512,10.675799776649583,8.388397053462926,4.496542012874877,10.02614164095877,11.358879418608256,11.441349376821265,11.167145066983258,11.57955945123952,8.882890790689173,6.728974394014837,10.63070333691469,11.562159258196552,11.703444542781812,11.748891319823809,11.382749401823212,9.63596614319451,5.318835563491427,10.657353589295331,11.507301871775928,11.403990037046675
ZONE1_REARPERIMETER_WALL_2:Surface Outside Face Temperature [C](Hourly),10.259754629382623,10.246647285513632,9.696465548199935,9.05989791984938,5.85973708504408,2.069576691070405,8.21957091318311,9.244605997594514,9.929236060676908,10.36334203909018,10.05011677032176,7.278735353070985,3.4403058950177026,9.939343029732113,10.821485473470938,10.642114859011444,10.331484783840777,10.821295583688892,7.753051925367502,5.24733040223597,10.173438527952634,10.877248668885995,10.827769012852164,10.83363200267556,10.604346737709411,8.518951625874932,4.074537882422738,10.2734834870681,10.84241452131004,10.50966849634255
